"번호","증강명","등급","분류","후보 구분","등장 라운드","효과·수치·조건","전용 타워","타워 획득 방식","설치 비용(다이아)","사용 슬롯","동시 설치 상한(기)","기본 몸체 체력 T1","기본 몸체 체력 T2","기본 몸체 체력 T3","기본 공격력 T1","기본 공격력 T2","기본 공격력 T3","사거리·지원 범위(블록)","기본 공격 간격(초)","피해 유형","단계별 특수 효과(T1 / T2 / T3)","성장·공통 제한","전체 설정 수치(원본 JSON)","증강 ID","수치 기준","근거 파일"
"34","별빛 고치 호출","프리즘","전용 타워","일반 후보","R5 / R15","무료 배치권 한 장. 슬롯 2칸, 동시 설치 1기, 체력 260. 파괴 없이 2웨이브를 끝내면 다음 준비 단계에 부화합니다. 부화 후 체력 800, 사거리 5블록, 공격력 170, 공격 간격 1.5초. R15/R25 자동 강화.","별빛 고치","무료 배치권 1장","0","2","1","260","520","780","0","0","0","0","","마법","부화 후 체력 800 / 1600 / 2400. 부화 후 공격력 170 / 255 / 340. 부화 후 사거리 5블록, 공격 간격 1.5초. 부화 전에는 공격하지 않음.","R5 T1 / R15 T2 / R25 T3. 기본 몸체 체력 ×1/2/3, 기본 공격·고정 피해·회복 상한 ×1/1.5/2, 기존 광역 피해 반경 ×1/1.15/1.3. 비율 효과·횟수·대상 수는 유지. 외부 회복·전투 강화·복제 불가. 일반 승급 없음.","{""healthPerTier"":1,""powerPerTier"":0.5,""areaPerTier"":0.15,""hatchWaves"":2,""hatchedDamage"":170,""hatchedHealth"":800,""hatchedIntervalTicks"":30,""hatchedRange"":5}","semiontd:starlight_cocoon_call","2026-09-07 로컬 기본값(미배포 상향 포함). 라이브 적용값 아님.","AugmentCatalog.java; AugmentDescriptions.java; augment_balance.json; AugmentTowers.java; tower_balance.json; AugmentTower.java; OffensiveAugmentTower.java"
"35","수호자","프리즘","전용 타워","일반 후보","R5 / R15 / R25","무료 배치권 한 장. 슬롯 2칸, 동시 설치 1기, 체력 1000. 연결 타워 최대 세 기가 받을 피해의 35%를 대신 받습니다. 전투 중 회복, 판매와 재배치를 할 수 없습니다. R15/R25 자동 강화.","수호자","무료 배치권 1장","0","2","1","1000","2000","3000","0","0","0","6","","물리","연결 타워 피해 35% 분담. 단계에 따라 비율이 늘어나지 않음.","R5 T1 / R15 T2 / R25 T3. 기본 몸체 체력 ×1/2/3, 기본 공격·고정 피해·회복 상한 ×1/1.5/2, 기존 광역 피해 반경 ×1/1.15/1.3. 비율 효과·횟수·대상 수는 유지. 외부 회복·전투 강화·복제 불가. 일반 승급 없음.","{""healthPerTier"":1,""powerPerTier"":0.5,""areaPerTier"":0.15,""redirectRatio"":0.35}","semiontd:barrier_core_call","2026-09-07 로컬 기본값(미배포 상향 포함). 라이브 적용값 아님.","AugmentCatalog.java; AugmentDescriptions.java; augment_balance.json; AugmentTowers.java; tower_balance.json; AugmentTower.java; OffensiveAugmentTower.java"
"36","원맨쇼","프리즘","대가형","일반 후보","R5 / R15 / R25","영구 주역 한 기의 최종 피해 +175%, 최대 체력 +60%. 나머지 일반 영구 타워의 최종 피해는 20% 감소합니다. 주역은 바꿀 수 없습니다.","","","","","","","","","","","","","","","","","{""damageBonus"":1.75,""maxHealthBonus"":0.6,""otherDamagePenalty"":0.2}","semiontd:one_man_show","2026-09-07 로컬 기본값(미배포 상향 포함). 라이브 적용값 아님.","AugmentCatalog.java; AugmentDescriptions.java; augment_balance.json"
"37","인컴 대포","프리즘","전용 타워","일반 후보","R15 / R25","무료 배치권 한 장. 슬롯 1칸, 동시 설치 1기, 체력 300. 인컴 구매에 쓴 100에메랄드마다 다음 전투 포탄 한 발, 최대 4발. 포탄은 반경 3블록의 최대 5기에게 200피해를 줍니다. R15/R25 자동 강화.","인컴 대포","무료 배치권 1장","0","1","1","300","600","900","20","30","40","8","1","물리","포탄 피해 200 / 300 / 400. 폭발 반경 3 / 3.45 / 3.9블록. 발사 간격 5초.","R5 T1 / R15 T2 / R25 T3. 기본 몸체 체력 ×1/2/3, 기본 공격·고정 피해·회복 상한 ×1/1.5/2, 기존 광역 피해 반경 ×1/1.15/1.3. 비율 효과·횟수·대상 수는 유지. 외부 회복·전투 강화·복제 불가. 일반 승급 없음.","{""healthPerTier"":1,""powerPerTier"":0.5,""areaPerTier"":0.15,""emeraldPerShell"":100,""maxShells"":4,""shellDamage"":200,""shellIntervalTicks"":100,""shellRadius"":3,""shellTargets"":5}","semiontd:ordnance_factory_call","2026-09-07 로컬 기본값(미배포 상향 포함). 라이브 적용값 아님.","AugmentCatalog.java; AugmentDescriptions.java; augment_balance.json; AugmentTowers.java; tower_balance.json; AugmentTower.java; OffensiveAugmentTower.java"
"38","전술 지명 III (돌격)","프리즘","일반 강화","일반 후보","R5 / R15 / R25","지정 타워 한 기의 최종 피해 +100%.","","","","","","","","","","","","","","","","","{""damageBonus"":1,""damageReduction"":0.4}","semiontd:tactical_designation_3_assault","2026-09-07 로컬 기본값(미배포 상향 포함). 라이브 적용값 아님.","AugmentCatalog.java; AugmentDescriptions.java; augment_balance.json"
"39","전술 지명 III (엄호)","프리즘","일반 강화","일반 후보","R5 / R15 / R25","지정 타워 한 기의 받는 피해 40% 감소.","","","","","","","","","","","","","","","","","{""damageBonus"":1,""damageReduction"":0.4}","semiontd:tactical_designation_3_cover","2026-09-07 로컬 기본값(미배포 상향 포함). 라이브 적용값 아님.","AugmentCatalog.java; AugmentDescriptions.java; augment_balance.json"
"40","총동원령","프리즘","인컴·경제","일반 후보","R5 / R15 / R25","이후 정기 다이아 지급액 ×0.65. 일반 영구 타워의 최종 피해 +65%, 최대 체력 +40%.","","","","","","","","","","","","","","","","","{""damageBonus"":0.65,""maxHealthBonus"":0.4,""payoutMultiplier"":0.65}","semiontd:wartime_economy","2026-09-07 로컬 기본값(미배포 상향 포함). 라이브 적용값 아님.","AugmentCatalog.java; AugmentDescriptions.java; augment_balance.json"
"41","예비 다이아 I","실버","인컴·경제","예비 보상","R5 / R15 / R25","즉시 다이아 +60.","","","","","","","","","","","","","","","","후보 부족 시에만 제시. 다른 마일스톤에서 반복 선택 가능.","{""amount"":60}","semiontd:reserve_diamonds_silver","2026-09-07 로컬 기본값(미배포 상향 포함). 라이브 적용값 아님.","AugmentCatalog.java; AugmentDescriptions.java; augment_balance.json"
"42","예비 생산 I","실버","인컴·경제","예비 보상","R5 / R15 / R25","기본 에메랄드 초당 생산 +1. 생산 업그레이드 상한과 별개이며 R25 생산 배율을 적용합니다.","","","","","","","","","","","","","","","","후보 부족 시에만 제시. 다른 마일스톤에서 반복 선택 가능.","{""amount"":1}","semiontd:reserve_production_silver","2026-09-07 로컬 기본값(미배포 상향 포함). 라이브 적용값 아님.","AugmentCatalog.java; AugmentDescriptions.java; augment_balance.json"
"43","예비 인컴 I","실버","인컴·경제","예비 보상","R5 / R15 / R25","정기 인컴 +10.","","","","","","","","","","","","","","","","후보 부족 시에만 제시. 다른 마일스톤에서 반복 선택 가능.","{""amount"":10}","semiontd:reserve_income_silver","2026-09-07 로컬 기본값(미배포 상향 포함). 라이브 적용값 아님.","AugmentCatalog.java; AugmentDescriptions.java; augment_balance.json"
"44","예비 다이아 II","골드","인컴·경제","예비 보상","R5 / R15 / R25","즉시 다이아 +120.","","","","","","","","","","","","","","","","후보 부족 시에만 제시. 다른 마일스톤에서 반복 선택 가능.","{""amount"":120}","semiontd:reserve_diamonds_gold","2026-09-07 로컬 기본값(미배포 상향 포함). 라이브 적용값 아님.","AugmentCatalog.java; AugmentDescriptions.java; augment_balance.json"
